PVTTABLE LABEL = "NONEQ TABSAT5", PHASE = TWO,\ 
COMPONENTS = ("CH4","C2H6","C3H8","iC4H10","nC4H10","iC5H12","nC5H12","nC6H14","nC7H16","nC8H18","nC9H20","nC10H22","nC11H24","nC12H26","nC14H30","N2","H2O","CO2","C15+"),\
PVTTABLE POINT = (12000000.0,100.0,177.4680755594434,659.5996217505116,1.3130995834868591e-06,1.6880855972815196e-06,-0.5068698257496996,-0.6691784365602249,0.9948284537667685,0.0022551828772619715,0.0031133832256918605,3276.3979463557644,2652.7955612765445,8523.549320424907,-22020.063033702783,0.041300108984208085,0.07329088522902434,7.659891871711975,100.0,100.0)
PVTTABLE POINT = (12000000.0,103.0,174.4930006957941,660.9419311280581,1.3470036593399046e-06,1.774768119364501e-06,-0.5119606147185375,-0.6907267323640153,0.9957159725433928,0.002254235349462808,0.003189562972907331,3202.829008982333,2638.6806417938087,18108.541261962615,52077.03446179116,0.04131703913721699,0.07378089741151257,7.7805874552326655,100.0,100.0)
PVTTABLE POINT = (12000000.0,106.0,171.649573382874,662.1085053095886,1.3817506110909234e-06,1.8683469137417071e-06,-0.5170991029613637,-0.7135064774909182,0.996554705714008,0.002254006627279203,0.0032591161895867923,3135.2288878935506,2626.6205858271137,27543.04692387022,121216.2953040069,0.041349085403740854,0.07424774361194632,7.895790171617406,100.0,100.0)
PVTTABLE POINT = (12000000.0,109.0,168.93027342433086,663.060406441841,1.4173623961346703e-06,1.9692358428918316e-06,-0.5222854876533087,-0.7375037060635922,0.9973598988653057,0.002254455460911187,0.0033207527736457978,3073.00202691043,2616.622099379383,36882.395009268075,185363.33984103333,0.0413951806267061,0.07468820164935679,8.00454902233375,100.0,100.0)
PVTTABLE POINT = (12000000.0,112.0,166.32826080371416,663.7705252405682,1.4538615441546782e-06,2.0778404397095947e-06,-0.5275199419501422,-0.7626934127652866,0.9981459172041235,0.0022562231145599166,0.003373633851455722,3015.625800465807,2608.630723691916,46181.385152965784,244630.7637647069,0.041454354609057914,0.07509932865670742,8.106055337803472,100.0,100.0)
PVTTABLE POINT = (12000000.0,115.0,163.8372428037057,664.2233139448747,1.4912711681732998e-06,2.1945665332628192e-06,-0.5328026131841473,-0.7890426217116189,0.9989259860534617,0.0022585871665680005,0.0034174118299477338,2962.6393527987793,2602.546027042697,55492.73241821863,299243.68252032483,0.04152571974043738,0.07547848501242667,8.199675845410576,100.0,100.0)
PVTTABLE POINT = (12000000.0,118.0,161.45139386721863,664.4133381209334,1.529614975358075e-06,2.319828702593195e-06,-0.5381336209551445,-0.8165129157393262,0.9997121464294475,0.0022614853070624056,0.0034523586017275675,2913.6348344555186,2598.2376895988887,64866.38964957651,349502.2596298484,0.04160846085643216,0.07582323624324709,8.284958969944501,100.0,100.0)
PVTTABLE POINT = (12000000.0,121.0,159.07787233170166,159.07787233170166,1.4860010120654442e-05,1.4860010120654442e-05,-0.9629823047849099,-0.9629823047849099,1.0,0.00022642678662863273,0.00022642678662863273,2867.5854616191336,2867.5854616191336,71829.4996696366,71829.4996696366,0.0417111624648692,0.0417111624648692,0.0,100.0,100.0)
PVTTABLE POINT = (12000000.0,124.0,156.74997660899973,156.74997660899973,1.457485262608236e-05,1.457485262608236e-05,-0.9234024167071251,-0.9234024167071251,1.0,0.00022671804673074177,0.00022671804673074177,2824.5481561615734,2824.5481561615734,77361.22724866308,77361.22724866308,0.041855320981839216,0.041855320981839216,0.0,100.0,100.0)
PVTTABLE POINT = (12000000.0,127.0,154.5112926741849,154.5112926741849,1.4302835825955061e-05,1.4302835825955061e-05,-0.8864364741984995,-0.8864364741984995,1.0,0.00022705321585995663,0.00022705321585995663,2784.606508238418,2784.606508238418,82861.0741958525,82861.0741958525,0.042007207009691495,0.042007207009691495,0.0,100.0,100.0)
PVTTABLE POINT = (12000000.0,130.0,152.35616101955276,152.35616101955276,1.4043052775329528e-05,1.4043052775329528e-05,-0.8518513277553404,-0.8518513277553404,1.0,0.00022742878642731905,0.00022742878642731905,2747.4803019825545,2747.4803019825545,88331.6064001564,88331.6064001564,0.04216632190181574,0.04216632190181574,0.0,100.0,100.0)
PVTTABLE POINT = (14200000.0,40.0,378.1083930370743,378.1083930370743,2.4960701589923824e-05,2.4960701589923824e-05,-6.31915173409347,-6.31915173409347,1.0,0.0003381556894108941,0.0003381556894108941,8327.170323412445,8327.170323412445,-133574.2443480268,-133574.2443480268,0.05922655422059636,0.05922655422059636,0.0,100.0,100.0)
PVTTABLE POINT = (14200000.0,43.0,364.32720231792865,364.32720231792865,2.5194189728327612e-05,2.5194189728327612e-05,-5.989350462221971,-5.989350462221971,1.0,0.0003266917103373114,0.0003266917103373114,8054.010071706765,8054.010071706765,-124357.02106323931,-124357.02106323931,0.05752866007745207,0.05752866007745207,0.0,100.0,100.0)
PVTTABLE POINT = (14200000.0,46.0,351.26473835022864,351.26473835022864,2.524334099460189e-05,2.524334099460189e-05,-5.643655470699178,-5.643655470699178,1.0,0.00031646889463286343,0.00031646889463286343,7740.433367710037,7740.433367710037,-115308.95937482733,-115308.95937482733,0.05598801503796544,0.05598801503796544,0.0,100.0,100.0)
PVTTABLE POINT = (14200000.0,49.0,338.9471620312381,338.9471620312381,2.5129872739502543e-05,2.5129872739502543e-05,-5.2930987555034115,-5.2930987555034115,1.0,0.0003073878507000544,0.0003073878507000544,7402.5528592602,7402.5528592602,-106451.0072883647,-106451.0072883647,0.05459851286036391,0.05459851286036391,0.0,100.0,100.0)
PVTTABLE POINT = (14200000.0,52.0,326.84152796695736,684.1770877714855,2.488077240593327e-05,8.878647879991751e-07,-4.947006597127676,-0.4571401550750243,0.9985613430806326,0.0029885798005036186,0.00292641147890774,7050.470482371418,2744.3756372253347,-102648.31435305532,-1197054.162032796,0.053305465984396005,0.06454664170786108,5.513508658837399,100.0,100.0)
PVTTABLE POINT = (14200000.0,55.0,315.62564269926116,680.5744024341375,2.452451412206087e-05,9.145967179003508e-07,-4.6125418976903685,-0.4640090576630162,0.9974641834790557,0.002914197835366991,0.0028992388335039995,6699.725080659024,2744.721189519802,-98043.79915599339,-1141799.3558215108,0.052160754839062184,0.06490532154867039,5.598255802897725,100.0,100.0)
PVTTABLE POINT = (14200000.0,58.0,305.2614550625855,677.6258914211668,2.4088201952149435e-05,9.433840814626325e-07,-4.294672006405705,-0.4715865191728865,0.9967143428178414,0.002849523455398,0.0028964219890880746,6360.6989426443915,2739.798993711802,-92592.65383800771,-1076132.5771084023,0.0511517562996052,0.06530626483721066,5.696321784131596,100.0,100.0)
PVTTABLE POINT = (14200000.0,61.0,295.6820444467948,675.2035404526162,2.3595821052132045e-05,9.742692390070766e-07,-3.996417308699931,-0.47984366382746396,0.9962590757333422,0.0027932355155285806,0.002899093601568732,6039.877430569459,2730.9571335224937,-86423.62895640824,-1002564.8347433638,0.05026409389588111,0.06573853264054252,5.804189068563362,100.0,100.0)
PVTTABLE POINT = (14200000.0,64.0,286.81821875557756,673.1848949048272,2.3067457168627636e-05,1.007309030036582e-06,-3.719232524055761,-0.48875777870052545,0.9960463150606608,0.0027442071489498874,0.0029153021636718654,5740.752301398702,2719.41638950394,-79656.05523621757,-923409.6572364112,0.049484163886150054,0.06619238193438177,5.918800004771472,100.0,100.0)
PVTTABLE POINT = (14200000.0,67.0,278.60235992930404,671.4604835823986,2.2519208381754356e-05,1.0425819107316732e-06,-3.4634101679240428,-0.49831507403712305,0.9960277547042347,0.002701438301857772,0.002941998969566585,5464.663622825986,2706.1877154706517,-72399.5486634979,-840650.251139597,0.04879951426762226,0.06665967991279842,6.0376751957509525,100.0,100.0)
PVTTABLE POINT = (14200000.0,70.0,270.970931204787,669.9346917437848,2.196350984351259e-05,1.0801904653172758e-06,-3.228441863282924,-0.5085109559153986,0.9961609556747296,0.002664047338088352,0.002976633405642157,5211.528049497971,2692.0652506418546,-64752.133515825495,-755920.0651705097,0.048199014679037665,0.06713390872850251,6.158892409856553,100.0,100.0)
PVTTABLE POINT = (14200000.0,73.0,263.86580860715236,668.5220426066913,2.1409652968653947e-05,1.1202587698154601e-06,-3.013310523151432,-0.519347777762128,0.9964102859550088,0.0026313470010725405,0.0030170079738030295,4980.3961196860455,2677.661161466523,-56798.56323452853,-670552.8088792097,0.0476728738439239,0.06760982183649582,6.280957708779395,100.0,100.0)
PVTTABLE POINT = (14200000.0,76.0,257.23477232398466,667.1437707422476,2.0864354651950706e-05,1.1629297741561047e-06,-2.816710073921378,-0.5308328463079457,0.9967470261511836,0.0026026955841649993,0.003061167970449256,4769.845451624825,2663.4418677797166,-48609.34283833578,-585631.5966471629,0.04721256532164199,0.0680831742681531,6.4027039633205485,100.0,100.0)
PVTTABLE POINT = (14200000.0,79.0,251.03145092447676,665.7243208820655,2.0332294604285253e-05,1.208361465543919e-06,-2.637201342580986,-0.5429760605476519,0.9971489272083338,0.0025775725001300344,0.003107308414483759,4578.241149321993,2649.7618214283125,-40240.59486861806,-502036.2299970328,0.04681070612346713,0.0685504330686287,6.523190385210251,100.0,100.0)
PVTTABLE POINT = (14200000.0,82.0,245.2149540923565,664.1886321465365,1.9816582707854463e-05,1.256723180510916e-06,-2.473316941643498,-0.5557878883566361,0.997599484334579,0.0025555391131405203,0.003153717731609489,4403.898928621674,2636.888835475984,-31734.62636037171,-420477.25066530565,0.046460918581372995,0.0690085680851339,6.641632456943331,100.0,100.0)
PVTTABLE POINT = (14200000.0,85.0,239.74935335383566,662.4598528761062,1.9319145139728255e-05,1.3081918377543537e-06,-2.3236279647972573,-0.5692775343745176,0.998087094177204,0.002536225457325389,0.0031987365044032563,4245.181344800846,2625.0224309851073,-23121.016220704652,-341520.1598389009,0.04615769328708595,0.06945488579025486,6.757351806040757,100.0,100.0)
PVTTABLE POINT = (14200000.0,88.0,234.6031109612785,660.4577856391448,1.8841032475225967e-05,1.362949623239675e-06,-2.1867834333634284,-0.5834519424479424,0.9986042037940978,0.0025193195422664218,0.003240715108504786,4100.550025929564,2614.3049770871244,-14418.036557533778,-265597.8622870045,0.045896262331771465,0.06988696461082003,6.869764381885966,100.0,100.0)
PVTTABLE POINT = (14200000.0,91.0,229.74851898302165,660.5861327967235,1.8382659515595183e-05,1.4211812329398404e-06,-2.0615310613236693,-0.5983147142801375,0.9991465079972991,0.002504556437814063,0.003286167105140271,3968.59022544488,2604.831394517593,-5634.248204198666,-193024.2237589648,0.04567248714286801,0.07030257677549072,6.978378726148553,100.0,100.0)
PVTTABLE POINT = (14200000.0,94.0,225.16118154002316,661.1915595707936,1.794398855215875e-05,1.483072892296948e-06,-1.9467256847240815,-0.6138658838610286,0.9997122447390637,0.0024917109156357108,0.0033277842655691594,3848.0185313946563,2596.6557533325395,3229.9127842169255,-124003.2766849217,0.04548276182111716,0.07069968602461692,7.0828599297884605,100.0,100.0)
PVTTABLE POINT = (14200000.0,97.0,220.74572367119427,220.74572367119427,1.7524667396316512e-05,1.7524667396316512e-05,-1.8413298714374857,-1.8413298714374857,1.0,0.00024800467970026544,0.00024800467970026544,3736.988912726768,3736.988912726768,10835.60860533081,10835.60860533081,0.04532071812184489,0.04532071812184489,0.0,100.0,100.0)
PVTTABLE POINT = (14200000.0,100.0,216.4856424001582,216.4856424001582,1.712413209559698e-05,1.712413209559698e-05,-1.7444098255370077,-1.7444098255370077,1.0,0.00024693686989088785,0.00024693686989088785,3634.6053122805442,3634.6053122805442,17092.69986229576,17092.69986229576,0.04518423513449815,0.04518423513449815,0.0,100.0,100.0)
PVTTABLE POINT = (14200000.0,103.0,212.43549592302898,212.43549592302898,1.6741682546158577e-05,1.6741682546158577e-05,-1.655128675594473,-1.655128675594473,1.0,0.00024601461970946985,0.00024601461970946985,3540.6434927928835,3540.6434927928835,23273.74876178149,23273.74876178149,0.04507411758120347,0.04507411758120347,0.0,100.0,100.0)
PVTTABLE POINT = (14200000.0,106.0,208.5793311298935,208.5793311298935,1.6376537561368537e-05,1.6376537561368537e-05,-1.5727385109839658,-1.5727385109839658,1.0,0.00024522240369322204,0.00024522240369322204,3454.2646387061054,3454.2646387061054,29384.575581155717,29384.575581155717,0.04498812245263923,0.04498812245263923,0.0,100.0,100.0)
PVTTABLE POINT = (14200000.0,109.0,204.9027187706278,204.9027187706278,1.6027874515877537e-05,1.6027874515877537e-05,-1.4965720298319731,-1.4965720298319731,1.0,0.0002445485433918665,0.0002445485433918665,3374.7217765604832,3374.7217765604832,35430.52560665831,35430.52560665831,0.04492425119378273,0.04492425119378273,0.0,100.0,100.0)
PVTTABLE POINT = (14200000.0,112.0,201.39259215483182,201.39259215483182,1.5694857496730207e-05,1.5694857496730207e-05,-1.4260343241160427,-1.4260343241160427,1.0,0.00024397650012831135,0.00024397650012831135,3301.350495873663,3301.350495873663,41416.50925041456,41416.50925041456,0.0448807190442247,0.0448807190442247,0.0,100.0,100.0)
PVTTABLE POINT = (14200000.0,115.0,198.03710203123669,198.03710203123669,1.5376656946655065e-05,1.5376656946655065e-05,-1.3605951033606154,-1.3605951033606154,1.0,0.00024350643869991398,0.00024350643869991398,3233.560036615097,3233.560036615097,47347.040114841424,47347.040114841424,0.04485592846707738,0.04485592846707738,0.0,100.0,100.0)
PVTTABLE POINT = (14200000.0,118.0,194.82548669218147,194.82548669218147,1.5072463047566467e-05,1.5072463047566467e-05,-1.2997815129233123,-1.2997815129233123,1.0,0.0002431261502032543,0.0002431261502032543,3170.824994644479,3170.824994644479,53226.27068021521,53226.27068021521,0.044848446132333165,0.044848446132333165,0.0,100.0,100.0)
PVTTABLE POINT = (14200000.0,121.0,191.74795692224257,191.74795692224257,1.4781494526945521e-05,1.4781494526945521e-05,-1.243171610679467,-1.243171610679467,1.0,0.00024282567488543026,0.00024282567488543026,3112.6777838409494,3112.6777838409494,59058.024337317795,59058.024337317795,0.04485698305628793,0.04485698305628793,0.0,100.0,100.0)
PVTTABLE POINT = (14200000.0,124.0,188.7955931094569,188.7955931094569,1.450300414069955e-05,1.450300414069955e-05,-1.190388509308274,-1.190388509308274,1.0,0.00024260282374952936,0.00024260282374952936,3058.701837932107,3058.701837932107,64845.82568539865,64845.82568539865,0.04488037733127869,0.04488037733127869,0.0,100.0,100.0)
PVTTABLE POINT = (14200000.0,127.0,185.96025433808413,185.96025433808413,1.4236281762870235e-05,1.4236281762870235e-05,-1.1410951582042965,-1.1410951582042965,1.0,0.00024245172837903783,0.00024245172837903783,3008.525571642939,3008.525571642939,70592.92761387862,70592.92761387862,0.044917579187866964,0.044917579187866964,0.0,100.0,100.0)
PVTTABLE POINT = (14200000.0,130.0,183.2344979690046,183.2344979690046,1.3980655770330277e-05,1.3980655770330277e-05,-1.0949897210362292,-1.0949897210362292,1.0,0.000242363459735181,0.000242363459735181,2961.8170445413853,2961.8170445413853,76302.3356599044,76302.3356599044,0.044967638041367095,0.044967638041367095,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,40.0,426.28377758301497,426.28377758301497,1.3980655770330277e-05,6.84214772155839e-07,-1.0949897210362292,-0.4080935956832217,0.0,0.0035974938422216225,0.00035974938422216225,7169.471146865717,7170.27700919387,-147513.55761136767,-4641580.13037269,0.05242226597991216,0.05242226597991216,0.891775728012487,100.0,100.0)
PVTTABLE POINT = (16400000.0,43.0,413.3129199590634,413.3129199590634,1.9649826428506877e-05,1.9649826428506877e-05,-5.722247564745835,-5.722247564745835,1.0,0.0003769081100547861,0.0003769081100547861,7076.117997161529,7076.117997161529,-138858.8147791773,-138858.8147791773,0.06491200359543589,0.06491200359543589,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,46.0,400.75580516666,400.75580516666,1.998625002901624e-05,1.998625002901624e-05,-5.5142438821738935,-5.5142438821738935,1.0,0.00036491784590448446,0.00036491784590448446,6949.037321831611,6949.037321831611,-130272.37046078406,-130272.37046078406,0.06325129374850375,0.06325129374850375,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,49.0,388.65393710503713,388.65393710503713,2.0223083848571084e-05,2.0223083848571084e-05,-5.2902717926264495,-5.2902717926264495,1.0,0.0003539779703922263,0.0003539779703922263,6793.751016618827,6793.751016618827,-121773.10856938548,-121773.10856938548,0.06171038737035052,0.06171038737035052,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,52.0,377.0383250226707,377.0383250226707,2.0362970404578314e-05,2.0362970404578314e-05,-5.055398336650904,-5.055398336650904,1.0,0.0003440270735307039,0.0003440270735307039,6615.907194382454,6615.907194382454,-113377.22063262574,-113377.22063262574,0.06028741512529841,0.06028741512529841,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,55.0,365.9292162212854,365.9292162212854,2.0412035201307988e-05,2.0412035201307988e-05,-4.814579458980211,-4.814579458980211,1.0,0.0003349992974058614,0.0003349992974058614,6421.531029469069,6421.531029469069,-105097.79014354013,-105097.79014354013,0.05897901739671405,0.05897901739671405,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,58.0,355.33658178185215,355.33658178185215,2.037898308612742e-05,2.037898308612742e-05,-4.572352634615034,-4.572352634615034,1.0,0.00032682642600835414,0.00032682642600835414,6216.516856849143,6216.516856849143,-96944.6393712638,-96944.6393712638,0.057780616604477614,0.057780616604477614,0.0,100.0,100.0)
