COLUMNS = (PT,TM,ROG,ROHL,DROGDP,DROHLDP,DROGDT,DROHLDT,RS,VISG,VISHL,CPG,CPHL,HG,HHL,TCG,TCHL,SIGGHL,SEG,SEHL)
PVTTABLE POINT = (12000000.0,121.0,159.07787233170166,159.07787233170166,1.4860010120654442e-05,1.4860010120654442e-05,-0.9629823047849099,-0.9629823047849099,1.0,0.00022642678662863273,0.00022642678662863273,2867.5854616191336,2867.5854616191336,71829.4996696366,71829.4996696366,0.0417111624648692,0.0417111624648692,0.0,100.0,100.0)
PVTTABLE POINT = (12000000.0,124.0,156.74997660899973,156.74997660899973,1.457485262608236e-05,1.457485262608236e-05,-0.9234024167071251,-0.9234024167071251,1.0,0.00022671804673074177,0.00022671804673074177,2824.5481561615734,2824.5481561615734,77361.22724866308,77361.22724866308,0.041855320981839216,0.041855320981839216,0.0,100.0,100.0)
PVTTABLE POINT = (12000000.0,127.0,154.5112926741849,154.5112926741849,1.4302835825955061e-05,1.4302835825955061e-05,-0.8864364741984995,-0.8864364741984995,1.0,0.00022705321585995663,0.00022705321585995663,2784.606508238418,2784.606508238418,82861.0741958525,82861.0741958525,0.042007207009691495,0.042007207009691495,0.0,100.0,100.0)
PVTTABLE POINT = (12000000.0,130.0,152.35616101955276,152.35616101955276,1.4043052775329528e-05,1.4043052775329528e-05,-0.8518513277553404,-0.8518513277553404,1.0,0.00022742878642731905,0.00022742878642731905,2747.4803019825545,2747.4803019825545,88331.6064001564,88331.6064001564,0.04216632190181574,0.04216632190181574,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,40.0,426.28377758301497,426.28377758301497,1.4043052775329528e-05,6.84214772155839e-07,-0.8518513277553404,-0.4080935956832217,0.0,0.0035974938422216225,0.00035974938422216225,7169.471146865717,7170.27700919387,-147513.55761136767,-4641580.13037269,0.05242226597991216,0.05242226597991216,0.891775728012487,100.0,100.0)
PVTTABLE POINT = (16400000.0,43.0,413.3129199590634,413.3129199590634,1.9649826428506877e-05,1.9649826428506877e-05,-5.722247564745835,-5.722247564745835,1.0,0.0003769081100547861,0.0003769081100547861,7076.117997161529,7076.117997161529,-138858.8147791773,-138858.8147791773,0.06491200359543589,0.06491200359543589,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,46.0,400.75580516666,400.75580516666,1.998625002901624e-05,1.998625002901624e-05,-5.5142438821738935,-5.5142438821738935,1.0,0.00036491784590448446,0.00036491784590448446,6949.037321831611,6949.037321831611,-130272.37046078406,-130272.37046078406,0.06325129374850375,0.06325129374850375,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,49.0,388.65393710503713,388.65393710503713,2.0223083848571084e-05,2.0223083848571084e-05,-5.2902717926264495,-5.2902717926264495,1.0,0.0003539779703922263,0.0003539779703922263,6793.751016618827,6793.751016618827,-121773.10856938548,-121773.10856938548,0.06171038737035052,0.06171038737035052,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,52.0,377.0383250226707,377.0383250226707,2.0362970404578314e-05,2.0362970404578314e-05,-5.055398336650904,-5.055398336650904,1.0,0.0003440270735307039,0.0003440270735307039,6615.907194382454,6615.907194382454,-113377.22063262574,-113377.22063262574,0.06028741512529841,0.06028741512529841,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,55.0,365.9292162212854,365.9292162212854,2.0412035201307988e-05,2.0412035201307988e-05,-4.814579458980211,-4.814579458980211,1.0,0.0003349992974058614,0.0003349992974058614,6421.531029469069,6421.531029469069,-105097.79014354013,-105097.79014354013,0.05897901739671405,0.05897901739671405,0.0,100.0,100.0)
