COLUMNS = (PT,TM,ROG,ROHL,DROGDP,DROHLDP,DROGDT,DROHLDT,RS,VISG,VISHL,CPG,CPHL,HG,HHL,TCG,TCHL,SIGGHL,SEG,SEHL)
PVTTABLE POINT = (16400000.0,58.0,355.33658178185215,355.33658178185215,2.037898308612742e-05,2.037898308612742e-05,-4.572352634615034,-4.572352634615034,1.0,0.00032682642600835414,0.00032682642600835414,6216.516856849143,6216.516856849143,-96944.6393712638,-96944.6393712638,0.057780616604477614,0.057780616604477614,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,61.0,345.26117561628627,345.26117561628627,2.0274110684350095e-05,2.0274110684350095e-05,-4.332627328382891,-4.332627328382891,1.0,0.00031944119868756933,0.00031944119868756933,6006.235732220215,6006.235732220215,-88924.40661684982,-88924.40661684982,0.05668672216763673,0.05668672216763673,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,64.0,335.6959561840936,335.6959561840936,2.0108385947586252e-05,2.0108385947586252e-05,-4.098578482466129,-4.098578482466129,1.0,0.000312773580619852,0.000312773580619852,5795.287319009344,5795.287319009344,-81040.80395775754,-81040.80395775754,0.05569123444431953,0.05569123444431953,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,67.0,326.62765886184565,326.62765886184565,1.9892692583827015e-05,1.9892692583827015e-05,-3.872629271747412,-3.872629271747412,1.0,0.0003067601944713866,0.0003067601944713866,5587.389822538494,5587.389822538494,-73294.98921318073,-73294.98921318073,0.05478772125822219,0.05478772125822219,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,70.0,318.03835321626354,318.03835321626354,1.963728055093145e-05,1.963728055093145e-05,-3.6564993669479144,-3.6564993669479144,1.0,0.0003013399747895262,0.0003013399747895262,5385.380152359401,5385.380152359401,-65685.99524543807,-65685.99524543807,0.05396965185864185,0.05396965185864185,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,73.0,309.9068622781926,309.9068622781926,1.9351419119129378e-05,1.9351419119129378e-05,-3.4512931076048337,-3.4512931076048337,1.0,0.00029645609449042754,0.00029645609449042754,5191.288165276721,5191.288165276721,-58211.16351566743,-58211.16351566743,0.05323058120011827,0.05323058120011827,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,76.0,302.2099838831629,302.2099838831629,1.9043221876550214e-05,1.9043221876550214e-05,-3.2576055121338037,-3.2576055121338037,1.0,0.0002920563590335658,0.0002920563590335658,5006.451398531529,5006.451398531529,-50866.55239516962,-50866.55239516962,0.05256428606478736,0.05256428606478736,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,79.0,294.9234864112792,294.9234864112792,1.8719601964355564e-05,1.8719601964355564e-05,-3.0756299317503135,-3.0756299317503135,1.0,0.00028809093131768726,0.00028809093131768726,4831.64381820822,4831.64381820822,-43647.297388304025,-43647.297388304025,0.05196485772683141,0.05196485772683141,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,82.0,288.0228851524395,288.0228851524395,1.8386315979138714e-05,1.8386315979138714e-05,-2.9052571740174478,-2.9052571740174478,1.0,0.00028452119504875247,0.00028452119504875247,4667.200950786337,4667.200950786337,-36547.91558733769,-36547.91558733769,0.05142675865904892,0.05142675865904892,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,85.0,281.4840217133572,281.4840217133572,1.8048061244804906e-05,1.8048061244804906e-05,-2.746160887770657,-2.746160887770657,1.0,0.00028130622414034284,0.00028130622414034284,4513.131445835643,4513.131445835643,-29562.55371215567,-29562.55371215567,0.05094485111400557,0.05094485111400557,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,88.0,275.2834748705199,275.2834748705199,1.770859959642142e-05,1.770859959642142e-05,-2.5978675333432513,-2.5978675333432513,1.0,0.0002784112977768728,0.0002784112977768728,4369.210690748113,4369.210690748113,-22685.182312937453,-22685.182312937453,0.05051440462187372,0.05051440462187372,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,91.0,269.39883741858824,269.39883741858824,1.737088902534897e-05,1.737088902534897e-05,-2.4598114591632423,-2.4598114591632423,1.0,0.000275805378991729,0.000275805378991729,4235.056001408824,4235.056001408824,-15909.745203868486,-15909.745203868486,0.05013108892988638,0.05013108892988638,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,94.0,263.8088856811223,263.8088856811223,1.703721136375461e-05,1.703721136375461e-05,-2.3313767683113893,-2.3313767683113893,1.0,0.00027346079535857333,0.00027346079535857333,4110.184757824735,4110.184757824735,-9230.268691133708,-9230.268691133708,0.04979095697874095,0.04979095697874095,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,97.0,258.4936698273564,258.4936698273564,1.6709289320601008e-05,1.6709289320601008e-05,-2.2119281159134516,-2.2119281159134516,1.0,0.0002713529394480839,0.0002713529394480839,3994.058010264024,3994.058010264024,-2640.9400447560474,-2640.9400447560474,0.04949042199713591,0.04949042199713591,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,100.0,253.4345455270535,253.4345455270535,1.6388389746024787e-05,1.6388389746024787e-05,-2.1008326072337535,-2.1008326072337535,1.0,0.0002694597941868932,0.0002694597941868932,3886.1122004775893,3886.1122004775893,3863.8390732603148,3863.8390732603148,0.04922623140463612,0.04922623140463612,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,103.0,248.61416364524115,248.61416364524115,1.6075412300769763e-05,1.6075412300769763e-05,-1.9974747682632845,-1.9974747682632845,1.0,0.0002677617915893661,0.0002677617915893661,3785.7815155256753,3785.7815155256753,10289.418967332691,10289.418967332691,0.04899543946080657,0.04899543946080657,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,106.0,244.01643205486363,244.01643205486363,1.5770964074314293e-05,1.5770964074314293e-05,-1.9012662667762046,-1.9012662667762046,1.0,0.00026624433152766893,0.00026624433152766893,3692.5131000191036,3692.5131000191036,16640.88248823397,16640.88248823397,0.048795380102709,0.048795380102709,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,109.0,239.62645915965007,239.62645915965007,1.5475421419974804e-05,1.5475421419974804e-05,-1.811651749872606,-1.811651749872606,1.0,0.00026488606984921684,0.00026488606984921684,3605.7769216345228,3605.7769216345228,22923.03652171325,22923.03652171325,0.048623640790945416,0.048623640790945416,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,112.0,235.43048655223052,235.43048655223052,1.5188980583686204e-05,1.5188980583686204e-05,-1.7281118747101885,-1.7281118747101885,1.0,0.00026367604944123573,0.00026367604944123573,3525.0717316559044,3525.0717316559044,29140.41124667134,29140.41124667134,0.04847803789124125,0.04847803789124125,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,115.0,231.41581596513745,231.41581596513745,1.4911698758499293e-05,1.4911698758499293e-05,-1.6501643601173106,-1.6501643601173106,1.0,0.0002626018183633526,0.0002626018183633526,3449.928223354766,3449.928223354766,35297.26513682213,35297.26513682213,0.048356593850710616,0.048356593850710616,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,118.0,227.57073420549503,227.57073420549503,1.4643527110187475e-05,1.4643527110187475e-05,-1.5773636824315096,-1.5773636824315096,1.0,0.00026165214891113084,0.00026165214891113084,3379.9102303789764,3379.9102303789764,41397.5940298941,41397.5940298941,0.04825751627353746,0.04825751627353746,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,121.0,223.88443967647527,223.88443967647527,1.4384337162620832e-05,1.4384337162620832e-05,-1.5092998766713575,-1.5092998766713575,1.0,0.00026081710391780036,0.00026081710391780036,3314.614618724809,3314.614618724809,47445.14164786879,47445.14164786879,0.04817917900770136,0.04817917900770136,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,124.0,220.3469704150427,220.3469704150427,1.4133941748960238e-05,1.4133941748960238e-05,-1.445596778459029,-1.445596778459029,1.0,0.0002600876613561301,0.0002600876613561301,3253.6702754291805,3253.6702754291805,53443.412795018405,53443.412795018405,0.04812010498104616,0.04812010498104616,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,127.0,216.94913614339728,216.94913614339728,1.3892111551821442e-05,1.3892111551821442e-05,-1.3859099465668938,-1.3859099465668938,1.0,0.0002594556706124853,0.0002594556706124853,3196.7365675642095,3196.7365675642095,59395.68670209218,59395.68670209218,0.04807895083286166,0.04807895083286166,0.0,100.0,100.0)
PVTTABLE POINT = (16400000.0,130.0,213.68245463313636,213.68245463313636,1.3658588085917309e-05,1.3658588085917309e-05,-1.3299244344534198,-1.3299244344534198,1.0,0.00025891387795260265,0.00025891387795260265,3143.501493387239,3143.501493387239,65305.03039181419,65305.03039181419,0.048054493174100196,0.048054493174100196,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,40.0,494.8930821686821,494.8930821686821,1.3658588085917309e-05,6.348090814079842e-07,-1.3299244344534198,-0.38933626496716667,0.0,0.003984838753930035,0.00039848387539300346,5664.989517802978,5663.556865640491,-164298.00589635316,-4658364.578657676,0.05242226597991216,0.05242226597991216,0.891775728012487,100.0,100.0)
PVTTABLE POINT = (20800000.0,43.0,483.7264031046661,483.7264031046661,1.3658588085917309e-05,1.5443652932428308e-06,-1.3299244344534198,-0.7574055810768249,0.0,0.003947935945870148,0.0003947935945870149,5657.91083005272,5656.766464413566,-156511.78298855573,-4650578.355749878,0.05237209083682495,0.05237209083682495,0.870362608745029,100.0,100.0)
PVTTABLE POINT = (20800000.0,46.0,472.73249548557567,472.73249548557567,1.3658588085917309e-05,1.3236233210358252e-06,-1.3299244344534198,-1.7224230914869603,0.0,0.00391053834121479,0.000391053834121479,5636.534172113348,5636.573036457792,-148733.4540237952,-4642800.026785118,0.0523211421240318,0.0523211421240318,0.8490920764828842,100.0,100.0)
PVTTABLE POINT = (20800000.0,49.0,461.9370353812704,461.9370353812704,1.3658588085917309e-05,5.668680742625388e-07,-1.3299244344534198,-0.31724556445513025,0.0,0.0038728590334575126,0.00038728590334575125,5603.559984682351,5603.198033091372,-140971.9492240632,-4635038.521985386,0.05226938742427462,0.05226938742427462,0.8279689713068616,100.0,100.0)
PVTTABLE POINT = (20800000.0,52.0,451.36367807173167,451.36367807173167,1.3658588085917309e-05,1.2681610456187053e-06,-1.3299244344534198,-0.6695984506549519,0.0,0.0038351513528510615,0.00038351513528510616,5556.948962149362,5557.191647510914,-133235.98366695642,-4627302.556428279,0.052216791991138434,0.052216791991138434,0.8069986265512112,100.0,100.0)
PVTTABLE POINT = (20800000.0,55.0,441.03358213368404,441.03358213368404,1.3658588085917309e-05,1.1035754923393791e-06,-1.3299244344534198,-0.6476794241417736,0.0,0.003797906935689122,0.0003797906935689122,5498.446108985602,5499.405724982211,-125533.86885121372,-4619600.441612536,0.052163318499469494,0.052163318499469494,0.7861869543218376,100.0,100.0)
PVTTABLE POINT = (20800000.0,58.0,430.9650380596664,430.9650380596664,1.3658588085917309e-05,7.807679339593095e-07,-1.3299244344534198,-0.4464532568468294,0.0,0.0037617338479321357,0.00037617338479321356,5432.298837682175,5430.947860795937,-117873.3445286518,-4611939.917289974,0.05210892675893248,0.05210892675893248,0.765540553478644,100.0,100.0)
PVTTABLE POINT = (20800000.0,61.0,421.17321377913873,421.17321377913873,1.3658588085917309e-05,8.563166498358607e-07,-1.3299244344534198,-0.49694492966538484,0.0,0.0037240818266684635,0.00037240818266684635,5353.075751314862,5353.1215737716975,-110261.43568587396,-4604328.008447196,0.05205357338359675,0.05205357338359675,0.7450668482586026,100.0,100.0)
PVTTABLE POINT = (20800000.0,64.0,411.67002873549075,411.67002873549075,1.3658588085917309e-05,9.869631948073991e-07,-1.3299244344534198,-0.5828984870807286,0.0,0.0036868605664293294,0.0003686860566429329,5267.278035544431,5267.3589312668655,-102704.34485869482,-4596770.917620017,0.051997211408704065,0.051997211408704065,0.7247742696495518,100.0,100.0)
PVTTABLE POINT = (20800000.0,67.0,402.4641499977705,402.4641499977705,1.4808180954291264e-05,1.4808180954291264e-05,-4.010193950449695,-4.010193950449695,1.0,0.0003784374947450748,0.0003784374947450748,5175.152114248129,5175.152114248129,-95207.38034389634,-95207.38034389634,0.06566143288775886,0.06566143288775886,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,70.0,393.56110199051403,393.56110199051403,1.485851994341087e-05,1.485851994341087e-05,-3.867482353694877,-3.867482353694877,1.0,0.0003705799456070206,0.0003705799456070206,5077.989838084997,5077.989838084997,-87774.92383295577,-87774.92383295577,0.06460290219532148,0.06460290219532148,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,73.0,384.96346463761165,384.96346463761165,1.4877603449124027e-05,1.4877603449124027e-05,-3.724614947728533,-3.724614947728533,1.0,0.00036330728958137445,0.00036330728958137445,4977.302915895018,4977.302915895018,-80410.43003382161,-80410.43003382161,0.06361564250832061,0.06361564250832061,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,76.0,376.6711429879439,376.6711429879439,1.4867974081296277e-05,1.4867974081296277e-05,-3.5827504757433717,-3.5827504757433717,1.0,0.0003565811498354587,0.0003565811498354587,4874.421696494842,4874.421696494842,-73116.45806061104,-73116.45806061104,0.06269674577699054,0.06269674577699054,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,79.0,368.6816807682825,368.6816807682825,1.483236228043756e-05,1.483236228043756e-05,-3.442888865795358,-3.442888865795358,1.0,0.0003503643444649471,0.0003503643444649471,4770.54622506143,4770.54622506143,-65894.72551245987,-65894.72551245987,0.061843142417541595,0.061843142417541595,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,82.0,360.99059692918667,360.99059692918667,1.4773577110113145e-05,1.4773577110113145e-05,-3.305866929570109,-3.305866929570109,1.0,0.0003446212920047141,0.0003446212920047141,4666.72860201693,4666.72860201693,-58746.17986569181,-58746.17986569181,0.06105166622006468,0.06105166622006468,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,85.0,353.5917264280591,353.5917264280591,1.4694414367828578e-05,1.4694414367828578e-05,-3.172361992310311,-3.172361992310311,1.0,0.0003393180666835071,0.0003393180666835071,4563.866049671993,4563.866049671993,-51671.08112710714,-51671.08112710714,0.06031911180435756,0.06031911180435756,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,88.0,346.4775480933296,346.4775480933296,1.4597583668611299e-05,1.4597583668611299e-05,-3.0429014475768996,-3.0429014475768996,1.0,0.0003344225714985166,0.0003344225714985166,4462.70254172172,4462.70254172172,-44669.08854106255,-44669.08854106255,0.059642283448326894,0.059642283448326894,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,91.0,339.6394918730537,339.6394918730537,1.4485654234854647e-05,1.4485654234854647e-05,-2.9178762882242277,-2.9178762882242277,1.0,0.0003299047018491056,0.0003299047018491056,4363.836851007829,4363.836851007829,-37739.34956303984,-37739.34956303984,0.059018035547473216,0.059018035547473216,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,94.0,333.06821468219033,333.06821468219033,1.4361017795246862e-05,1.4361017795246862e-05,-2.797556895946778,-2.797556895946778,1.0,0.0003257361930376733,0.0003257361930376733,4267.734804541422,4267.734804541422,-30880.584325355478,-30880.584325355478,0.05844330449180621,0.05844330449180621,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,97.0,326.7538438216528,326.7538438216528,1.4225866219484034e-05,1.4225866219484034e-05,-2.682109692224866,-2.682109692224866,1.0,0.0003218908284765684,0.0003218908284765684,4174.7439901992775,4174.7439901992775,-24091.1655372167,-24091.1655372167,0.057915133008512074,0.057915133008512074,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,100.0,320.6861857939305,320.6861857939305,1.4082181194224492e-05,1.4082181194224492e-05,-2.571613597270501,-2.571613597270501,1.0,0.0003183442667948841,0.0003183442667948841,4085.1094333027386,4085.1094333027386,-17369.19121990446,-17369.19121990446,0.0574306876910443,0.0574306876910443,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,103.0,314.8549008770084,314.8549008770084,1.3931733256202606e-05,1.3931733256202606e-05,-2.4660755657989144,-2.4660755657989144,1.0,0.00031507386021961356,0.00031507386021961356,3998.989155682545,3998.989155682545,-10712.548960817046,-10712.548960817046,0.05698727062001002,0.05698727062001002,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,106.0,309.24964671867616,309.24964671867616,1.3776087722119428e-05,1.3776087722119428e-05,-2.365444743925571,-2.365444743925571,1.0,0.0003120589116580462,0.0003120589116580462,3916.468908261847,3916.468908261847,-4118.972448868677,-4118.972448868677,0.05658232619485061,0.05658232619485061,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,109.0,303.86019344634605,303.86019344634605,1.3616615393385657e-05,1.3616615393385657e-05,-2.269625010310359,-2.269625010310359,1.0,0.00030928015263791706,0.00030928015263791706,3837.575613548247,3837.575613548247,2413.9100720873103,2413.9100720873103,0.05621344403216216,0.05621344403216216,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,112.0,298.6765137267852,298.6765137267852,1.345450629386577e-05,1.345450629386577e-05,-2.1784858272654164,-2.1784858272654164,1.0,0.00030672003684138803,0.00030672003684138803,3762.2892918102575,3762.2892918102575,8888.534775976092,8888.534775976092,0.05587835877414596,0.05587835877414596,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,115.0,293.68885100463007,293.68885100463007,1.3290785071644834e-05,1.3290785071644834e-05,-2.091871440275163,-2.091871440275163,1.0,0.00030436236895563056,0.00030436236895563056,3690.553391583834,3690.553391583834,15307.36835403461,15307.36835403461,0.05557494750856819,0.05557494750856819,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,118.0,288.8877691571533,288.8877691571533,1.3126327032856566e-05,1.3126327032856566e-05,-2.009608536240091,-2.009608536240091,1.0,0.0003021922551508884,0.0003021922551508884,3622.283564556512,3622.283564556512,21672.880620643497,21672.880620643497,0.0553012254093853,0.0553012254093853,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,121.0,284.2641880516721,284.2641880516721,1.2961874063104116e-05,1.2961874063104116e-05,-1.9315125111778775,-1.9315125111778775,1.0,0.0003001961174098817,0.0003001961174098817,3557.3750215752248,3557.3750215752248,27987.52132047247,27987.52132047247,0.05505534028273541,0.05505534028273541,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,124.0,279.8094053848764,279.8094053848764,1.2798049926446837e-05,1.2798049926446837e-05,-1.8573925157025015,-1.8573925157025015,1.0,0.0002983613737549033,0.0002983613737549033,3495.7085580894145,3495.7085580894145,34253.70304966066,34253.70304966066,0.05483556613747352,0.05483556613747352,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,127.0,275.5151091607664,275.5151091607664,1.2635374615962495e-05,1.2635374615962495e-05,-1.787055448557004,-1.787055448557004,1.0,0.0002966766887383112,0.0002966766887383112,3437.1554539760614,3437.1554539760614,40473.787429114804,40473.787429114804,0.05464029634977444,0.05464029634977444,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,130.0,271.37338248770715,271.37338248770715,1.2474277569427855e-05,1.2474277569427855e-05,-1.7203090604543285,-1.7203090604543285,1.0,0.00029513142522688974,0.00029513142522688974,3381.58139642527,3381.58139642527,46650.07436354458,46650.07436354458,0.0544680366247964,0.0544680366247964,0.0,100.0,100.0)
PVTTABLE POINT = (25200000.0,40.0,543.1681016713372,543.1681016713372,1.2474277569427855e-05,5.910743457184659e-07,-1.7203090604543285,-0.37237334210964795,0.0,0.00424863929397556,0.000424863929397556,4837.704863660421,4837.3341534454,-173751.50256402418,-4667818.075325347,0.05242226597991216,0.05242226597991216,0.891775728012487,100.0,100.0)
PVTTABLE POINT = (25200000.0,43.0,533.3480546347213,533.3480546347213,1.2474277569427855e-05,1.3737067149580308e-06,-1.7203090604543285,-0.702922502046314,0.0,0.004222126598715072,0.0004222126598715072,4844.1979406249675,4843.85188917423,-166506.3955195658,-4660572.968280888,0.05237209083682495,0.05237209083682495,0.870362608745029,100.0,100.0)
PVTTABLE POINT = (25200000.0,46.0,523.622678926455,523.622678926455,1.2474277569427855e-05,1.2419727858267632e-06,-1.7203090604543285,-1.6504152170168105,0.0,0.004194906896093246,0.00041949068960932457,4843.874532670257,4843.874072939861,-159256.2964388011,-4653322.8692001235,0.0523211421240318,0.0523211421240318,0.8490920764828842,100.0,100.0)
PVTTABLE POINT = (25200000.0,49.0,514.007265045342,514.007265045342,1.2474277569427855e-05,5.219902239833532e-07,-1.7203090604543285,-0.3010075990758026,0.0,0.004167122901524599,0.0004167122901524599,4837.348320342306,4837.32875011973,-152005.9153906433,-4646072.488151966,0.05226938742427462,0.05226938742427462,0.8279689713068616,100.0,100.0)
PVTTABLE POINT = (25200000.0,52.0,504.5165314992443,504.5165314992443,1.2474277569427855e-05,1.1393541084059207e-06,-1.7203090604543285,-0.6247484732524956,0.0,0.004138968282242854,0.0004138968282242854,4824.230392533253,4824.243334713719,-144759.98060061317,-4638826.553361936,0.052216791991138434,0.052216791991138434,0.8069986265512112,100.0,100.0)
PVTTABLE POINT = (25200000.0,55.0,495.16442783186864,495.16442783186864,1.2474277569427855e-05,1.0028825482846956e-06,-1.7203090604543285,-0.6088732265525029,0.0,0.004110909437429148,0.0004110909437429148,4804.857626625222,4804.745482683735,-137523.17377845664,-4631589.746539779,0.052163318499469494,0.052163318499469494,0.7861869543218376,100.0,100.0)
