PT;TM;ROG;ROHL;DROGDP;DROHLDP;DROGDT;DROHLDT;RS;VISG;VISHL;CPG;CPHL;HG;HHL;TCG;TCHL;SIGGHL;SEG;SEHL
COMPONENTS =  (CH4,C2H6,C3H8,iC4H10,nC4H10,iC5H12,nC5H12,nC6H14,nC7H16,nC8H18,nC9H20,nC10H22,nC11H24,nC12H26,nC14H30,N2,H2O,CO2,C15+),\
PVTTABLE POINT = (62000000.0,40.0,0.0,727.108154596651,0.0,3.3435021203272565e-07,0.0,-0.24315088707309618,0.0,0.0,5.200358950832719e-05,0.0,3050.387458678188,0.0,-4678732.595619647,0.0,0.05242226597991216,0.891775728012487,0.0,100.0)
PVTTABLE POINT = (62000000.0,70.0,0.0,672.347605529212,0.0,4.004015946351382e-07,0.0,-0.25534266809902323,0.0,0.0,5.2118259415173734e-05,0.0,3078.5465804858586,0.0,-4619562.148884116,0.0,0.051881253146134176,0.6847727959995731,0.0,100.0)
PVTTABLE POINT = (62000000.0,100.0,620.4895455718697,0.0,4.73800902583603e-07,0.0,-0.2670231782716735,0.0,1.0,0.0007449665252940019,0.0,3057.461920457604,0.0,-65760.38246536441,0.0,0.11185416457674692,0.0,0.0,100.0,0.0)
PVTTABLE POINT = (62000000.0,130.0,572.8460192895143,0.0,5.546207053772651e-07,0.0,-0.2780492955383768,0.0,1.0,0.0006537391176860165,0.0,2999.9916486297334,0.0,-5819.524168197066,0.0,0.10394986451726598,0.0,0.0,100.0,0.0)
PVTTABLE POINT = (67000000.0,40.0,0.0,740.9587367952365,0.0,3.1370396117663097e-07,0.0,-0.23392510907325184,0.0,0.0,5.268951132750606e-05,0.0,2971.281051592573,0.0,-4677182.028887857,0.0,0.05242226597991216,0.891775728012487,0.0,100.0)
PVTTABLE POINT = (67000000.0,70.0,0.0,688.6803164794337,0.0,3.7425556382319724e-07,0.0,-0.2450898957048152,0.0,0.0,5.298384311095034e-05,0.0,3000.5084690066305,0.0,-4618686.133907289,0.0,0.051881253146134176,0.6847727959995731,0.0,100.0)
PVTTABLE POINT = (67000000.0,100.0,638.9167368671425,0.0,4.411742980148599e-07,0.0,-0.2557281637043429,0.0,1.0,0.0007886249916621703,0.0,2988.3938255990397,0.0,-65503.45770746004,0.0,0.1164384200709914,0.0,0.0,100.0,0.0)
PVTTABLE POINT = (67000000.0,130.0,592.8281851266032,0.0,5.144645582739526e-07,0.0,-0.2657178342804385,0.0,1.0,0.0006928106120837606,0.0,2944.846325597869,0.0,-6069.006121580489,0.0,0.10845890683295628,0.0,0.0,100.0,0.0)
PVTTABLE POINT = (72000000.0,40.0,0.0,753.6002709166399,0.0,2.950513577252506e-07,0.0,-0.22541849040642067,0.0,0.0,5.3312026172108094e-05,0.0,2903.3929304124485,0.0,-4675338.678677077,0.0,0.05242226597991216,0.891775728012487,0.0,100.0)
PVTTABLE POINT = (72000000.0,70.0,0.0,703.5344830128083,0.0,3.5078898542667236e-07,0.0,-0.23568577535382704,0.0,0.0,5.3765481853214574e-05,0.0,2933.294449045239,0.0,-4617428.07705937,0.0,0.051881253146134176,0.6847727959995731,0.0,100.0)
PVTTABLE POINT = (72000000.0,100.0,655.6739760041902,0.0,4.120843231316442e-07,0.0,-0.24542116191231292,0.0,1.0,0.0008308654812651745,0.0,2927.9820615859453,0.0,-64787.94885022193,0.0,0.1211469282938752,0.0,0.0,100.0,0.0)
PVTTABLE POINT = (72000000.0,130.0,611.0515364529081,0.0,4.788961475477977e-07,0.0,-0.25452058810439826,0.0,1.0,0.000730815718537316,0.0,2895.297927320782,0.0,-5807.488625131547,0.0,0.11273784438495014,0.0,0.0,100.0,0.0)
PVTTABLE POINT = (77000000.0,40.0,0.0,765.2135434559785,0.0,2.7812950773261e-07,0.0,-0.2175465559164569,0.0,0.0,5.388096062165705e-05,0.0,2844.3957190112687,0.0,-4673251.221411674,0.0,0.05242226597991216,0.891775728012487,0.0,100.0)
